system,functional,state,reason,hole_Sm,hole_Sr,hole_D,hole_H_CT,hole_H,hole_t,hole_HDI,hole_EDI,hole_ghost_hunter_eV,hole_hole_integral,hole_electron_integral,hole_status,nto_NTO1,nto_NTO2,nto_NTO12_sum,nto_status,tdm_status
D01_TPA_NONE_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.40915,0.69995,2.925,2.657,4.082,0.268,6.36,6.5,0.07,1.000018,0.999997,OK,0.965167,0.027445,0.992612,OK,OK
D02_TPA_NONE_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.41693,0.70823,2.919,3.411,4.455,-0.492,5.79,6.29,-0.022,1.000128,1.000263,OK,0.956102,0.033878,0.98998,OK,OK
D03_TPA_NONE_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.43487,0.71653,3.049,4.072,4.503,-1.022,5.81,6.16,0.192,1.000006,0.999977,OK,0.955129,0.035539,0.990668,OK,OK
D04_TPA_NONE_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.43728,0.72284,2.977,3.585,4.793,-0.608,5.47,6.03,0.013,1.000134,1.000441,OK,0.948578,0.03935,0.987928,OK,OK
D05_TPA_BTD_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.44126,0.71872,2.772,2.866,4.719,-0.094,5.34,5.49,-0.501,0.99997,0.999733,OK,0.952796,0.037752,0.990548,OK,OK
D05_TPA_BTD_T_CAA,CAMB3LYP,2,visible_f_target_set,0.43789,0.7057,3.024,3.233,5.278,-0.21,5.49,5.46,0.673,0.999943,0.999712,OK,0.621749,0.363056,0.9848049999999999,OK,OK
D06_TPA_BTD_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.46007,0.73649,2.172,3.531,5.139,-1.359,5.03,5.26,-1.889,0.999684,0.999712,OK,0.927702,0.060188,0.98789,OK,OK
D06_TPA_BTD_T_RAA,CAMB3LYP,2,visible_f_target_set,0.40778,0.69125,2.809,4.072,5.86,-1.263,4.98,5.34,0.155,0.999106,0.999489,OK,0.57509,0.405058,0.980148,OK,OK
D07_TPA_BTD_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.4631,0.73839,2.307,4.188,5.213,-1.882,5.03,5.26,-1.559,0.999985,1.000332,OK,0.932344,0.056028,0.9883719999999999,OK,OK
D07_TPA_BTD_TT_CAA,CAMB3LYP,2,visible_f_target_set,0.43311,0.70728,2.999,4.779,5.884,-1.78,5.14,5.32,0.493,0.999986,1.000017,OK,0.585474,0.39593,0.981404,OK,OK
D08_TPA_BTD_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.46823,0.74891,1.887,4.679,5.652,-2.791,4.79,4.97,-2.933,1.000045,0.999641,OK,0.905427,0.080294,0.985721,OK,OK
D08_TPA_BTD_TT_RAA,CAMB3LYP,2,visible_f_target_set,0.41444,0.70029,2.791,5.248,6.381,-2.457,4.71,5.24,0.007,1.000147,0.999515,OK,0.583803,0.395413,0.979216,OK,OK
D09_PTZ_NONE_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.39047,0.68029,3.151,2.715,4.033,0.436,6.21,6.39,0.4,1.000144,1.000266,OK,0.962802,0.030181,0.9929830000000001,OK,OK
D10_PTZ_NONE_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.41647,0.70472,2.985,2.988,4.467,-0.003,5.69,6.18,0.096,1.000125,0.999571,OK,0.952706,0.037147,0.9898530000000001,OK,OK
D11_PTZ_NONE_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,0.42613,0.70708,3.206,3.009,4.516,0.197,5.73,6.1,0.459,0.999879,0.999755,OK,0.950607,0.039815,0.990422,OK,OK
