system,ID,Donor,Aux,Bridge,Anchor,light_source,sigma_ev,PCF,PCC_nm,PCB_nm,B1_380_500_fraction,B2_500_600_fraction,B3_600_700_fraction,B4_700_780_fraction
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,AM15G,0.2,0.2014959594239617,474.76817172735264,39.45818902028292,0.7441624509981215,0.2532798543879417,0.002550847552812294,6.847061124528224e-06
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CIEFL10,0.2,0.2653922223204901,475.54759999471236,41.644569588466055,0.7830177087802206,0.2127815624424382,0.0041991457751994025,1.5830021418266052e-06
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB2,0.2,0.13678224469397646,490.4558696796086,40.90354622276956,0.605225237627662,0.38693113227955894,0.00783936619577067,4.263897008497319e-06
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB3,0.2,0.20988405032809956,482.4684646591458,39.39703054063247,0.6678070938205363,0.3278495051958125,0.004341552480802121,1.8485028492141238e-06
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB4,0.2,0.2486893609624486,478.0125059181219,38.644359939342394,0.7134031739243504,0.28350793807912933,0.0030874372728784375,1.4507236419143778e-06
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,AM15G,0.2,0.23331536033970698,482.19591901770457,41.671413302954385,0.6738195455178407,0.3210353348838658,0.005126915259240635,1.820433905278778e-05
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CIEFL10,0.2,0.31309482597399413,484.3943785370754,45.01245935103763,0.6997798425012445,0.2920363214240275,0.008179772793380452,4.063281347531192e-06
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB2,0.2,0.172050825246021,499.52024236577336,43.91080397355046,0.5137068199471799,0.4718616354993759,0.014421210427261149,1.0334126183199363e-05
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB3,0.2,0.2539792154050706,490.5194161046775,42.60193925637012,0.5848400755070642,0.40686877661590753,0.008286493791874773,4.654085153412943e-06
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB4,0.2,0.29553354542260374,485.93519485615764,42.46478728631008,0.6305759987318029,0.36343020897379513,0.005990066864796053,3.725429605984255e-06
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,AM15G,0.2,0.23294059945437923,481.2742524419813,41.51694832789111,0.6815084061367678,0.31374102016457656,0.004734426161889738,1.6147536765888403e-05
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CIEFL10,0.2,0.31169727358636895,483.35324811823745,44.74168875472319,0.7089438512280305,0.2834624588580996,0.007590066534504033,3.6233793658666683e-06
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,LEDB2,0.2,0.169941418442792,498.54594620892993,43.61251997760766,0.5227057636284147,0.46381240844492805,0.013472549120115439,9.278806541746113e-06
