sigma_ev,light_source,order,term,response,mean_plus,mean_minus,effect,abs_effect
0.3,AM15G,1,Aux,PCF,0.35967210664159543,0.2697381608100117,0.08993394583158376,0.08993394583158376
0.3,AM15G,1,Bridge,PCF,0.3387489079613188,0.29066135949028826,0.04808754847103053,0.04808754847103053
0.3,AM15G,1,Anchor,PCF,0.3383445515187641,0.29106571593284297,0.04727883558592111,0.04727883558592111
0.3,AM15G,1,Donor,PCF,0.30320630124414893,0.3262039662074582,-0.02299766496330924,0.02299766496330924
0.3,AM15G,2,Aux×Bridge,PCF,0.3187557726561727,0.31065449479543433,0.008101277860738387,0.008101277860738387
0.3,AM15G,2,Donor×Anchor,PCF,0.3178009962047386,0.31160927124686844,0.006191724957870182,0.006191724957870182
0.3,AM15G,2,Donor×Aux,PCF,0.3176499603550712,0.31176030709653585,0.0058896532585353545,0.0058896532585353545
0.3,AM15G,2,Bridge×Anchor,PCF,0.3137255399817783,0.31568472746982873,-0.0019591874880504068,0.0019591874880504068
0.3,AM15G,2,Donor×Bridge,PCF,0.3137283660020328,0.3156819014495742,-0.001953535447541399,0.001953535447541399
0.3,AM15G,2,Aux×Anchor,PCF,0.3151634841934291,0.31424678325817795,0.0009167009352511468,0.0009167009352511468
0.3,CIEFL10,1,Aux,PCF,0.501203776311976,0.3734635562726441,0.1277402200393319,0.1277402200393319
0.3,CIEFL10,1,Anchor,PCF,0.471465500663962,0.40320183192065806,0.06826366874330392,0.06826366874330392
0.3,CIEFL10,1,Bridge,PCF,0.47117919102473815,0.40348814155988194,0.06769104946485621,0.06769104946485621
0.3,CIEFL10,1,Donor,PCF,0.42025814057852806,0.45440919200609203,-0.03415105142756397,0.03415105142756397
0.3,CIEFL10,2,Donor×Aux,PCF,0.44206054261660993,0.43260678996801016,0.009453752648599767,0.009453752648599767
0.3,CIEFL10,2,Aux×Bridge,PCF,0.4418517286140366,0.4328156039705835,0.009036124643453103,0.009036124643453103
0.3,CIEFL10,2,Donor×Anchor,PCF,0.44185158757520426,0.4328157450094158,0.009035842565788488,0.009035842565788488
0.3,CIEFL10,2,Bridge×Anchor,PCF,0.4359196863702631,0.438747646214357,-0.002827959844093897,0.002827959844093897
0.3,CIEFL10,2,Donor×Bridge,PCF,0.4360478402531233,0.4386194923314968,-0.0025716520783734542,0.0025716520783734542
0.3,CIEFL10,2,Aux×Anchor,PCF,0.4367499653966903,0.43791736718792973,-0.0011674017912394197,0.0011674017912394197
0.3,LEDB2,1,Aux,PCF,0.3888714055273983,0.24240621174657653,0.14646519378082176,0.14646519378082176
0.3,LEDB2,1,Bridge,PCF,0.3462995053710024,0.28497811190297234,0.06132139346803006,0.06132139346803006
0.3,LEDB2,1,Anchor,PCF,0.34618113763576996,0.28509647963820484,0.06108465799756513,0.06108465799756513
0.3,LEDB2,1,Donor,PCF,0.299656345516332,0.3316212717576428,-0.031964926241310754,0.031964926241310754
0.3,LEDB2,2,Aux×Bridge,PCF,0.32234038889526173,0.30893722837871307,0.013403160516548662,0.013403160516548662
0.3,LEDB2,2,Donor×Anchor,PCF,0.31981244626757577,0.31146517100639903,0.008347275261176734,0.008347275261176734
0.3,LEDB2,2,Donor×Bridge,PCF,0.3129661020034786,0.31831151527049617,-0.005345413267017596,0.005345413267017596
0.3,LEDB2,2,Donor×Aux,PCF,0.3180257859863471,0.3132518312876277,0.00477395469871944,0.00477395469871944
0.3,LEDB2,2,Bridge×Anchor,PCF,0.31636371108972744,0.3149139061842473,0.0014498049054801343,0.0014498049054801343
0.3,LEDB2,2,Aux×Anchor,PCF,0.316180213318055,0.3150974039559198,0.0010828093621352286,0.0010828093621352286
0.3,LEDB3,1,Aux,PCF,0.4484408899156308,0.31181800869385756,0.13662288122177324,0.13662288122177324
0.3,LEDB3,1,Anchor,PCF,0.41270558988752565,0.34755330872196266,0.06515228116556299,0.06515228116556299
0.3,LEDB3,1,Bridge,PCF,0.4124825618856174,0.347776336723871,0.0647062251617464,0.0647062251617464
