ID,system,Donor,Aux,Bridge,Anchor,VIP_eV,VEA_eV,I_AIP_electronic_eV,A_AEA_electronic_eV,AIP_Gibbs_eV,AEA_Gibbs_eV,chi_eV,mu_eV,eta_eV,softness_eV_inv,omega_eV,I_minus_A_eV,lambda_h_eV,lambda_e_eV,lambda_total_eV,CT_percent,Anchor_electron_percent,Donor_to_Anchor_net_e,off_diagonal_fraction,optical_value,PCC_nm,PCB_nm,dominated_by_count,pareto_front,epsilon_dominated_by_count,epsilon_pareto_front,z_optical,z_CT,z_reorg,core_compromise_score,distance_to_ideal,z_anchor,z_TDM,mechanistic_support_score,sigma_ev,source,optical_metric
D01,D01_TPA_NONE_T_CAA,TPA,NONE,T,CAA,5.0901562,3.12777197,5.02117669,3.28423364,5.08148148,3.39244352,4.152705165,-4.152705165,0.8684715249999999,0.5757241148464828,9.928339439463882,1.7369430499999998,0.11174655,0.29789665,0.4096432,70.577,37.98,0.18657,0.2489111733662811,0.2014959594239617,474.76817172735264,39.45818902028292,4,False,4,False,0.13875916327477125,0.39325842696629154,0.8090733169885994,0.4470303024098874,1.0706652668207401,0.6282736504543024,0.17790793536218272,0.40309079290824257,0.2,AM15G,PCF_sigma_0.20
D02,D02_TPA_NONE_T_RAA,TPA,NONE,T,RAA,5.04126849,3.12996821,4.98357328,3.25670415,5.01696328,3.38204877,4.120138715,-4.120138715,0.8634345649999999,0.5790826777938871,9.830242915305256,1.72686913,0.12017637,0.25915117,0.37932754,69.983,51.89,0.19012,0.269464825092078,0.2333153603397069,482.19591901770457,41.67141330295439,2,False,3,False,0.3296661107893276,0.31910112359550563,0.9096024505030391,0.5194565616292908,0.9597616995214303,1.0,0.22249435272146376,0.6112471763607319,0.2,AM15G,PCF_sigma_0.20
D03,D03_TPA_NONE_TT_CAA,TPA,NONE,TT,CAA,5.05277728,3.18736328,4.99420286,3.32592257,5.04874618,3.45263511,4.160062715,-4.160062715,0.8341401449999999,0.5994196574725462,10.373629597178285,1.6682802899999998,0.11402333,0.27610795,0.3901312799999999,68.089,36.08,0.13624,0.252109328320968,0.2329405994543792,481.2742524419813,41.51694832789111,4,False,5,False,0.32741765687106533,0.08264669163545477,0.8737763915976654,0.42794691336806184,1.1444808866793235,0.577498663816141,0.18484559653751306,0.38117213017682705,0.2,AM15G,PCF_sigma_0.20
D04,D04_TPA_NONE_TT_RAA,TPA,NONE,TT,RAA,5.01761962,3.18246577,4.94952476,3.30351943,5.02431036,3.37524593,4.126522095,-4.126522095,0.823002665,0.6075314470579509,10.345157631125772,1.64600533,0.13825833,0.24401539,0.38227372,67.427,50.18,0.13417,0.1668983551300852,0.2602099213498896,489.0429383262055,43.80010990089685,2,False,3,False,0.49102548272701046,0.0,0.8998326839013037,0.4636193888761047,1.1265383040303996,0.9543025120256547,0.0,0.4771512560128274,0.2,AM15G,PCF_sigma_0.20
D05,D05_TPA_BTD_T_CAA,TPA,BTD,T,CAA,5.04680819,3.38230674,4.99307604,3.53598984,4.96349291,3.63821676,4.2645329400000005,-4.2645329400000005,0.7285431,0.686301194809202,12.48123906213994,1.4570862,0.1088118,0.28619385,0.39500565,74.294,15.55,0.06196,0.5009125244839033,0.2683897566488263,504.5819608105272,50.24951395860434,2,False,2,False,0.540102063151223,0.8573033707865166,0.8576125939917816,0.751672675976507,0.5021380424707943,0.028861571352218066,0.7245668729528656,0.37671422215254186,0.2,AM15G,PCF_sigma_0.20
D06,D06_TPA_BTD_T_RAA,TPA,BTD,T,RAA,5.0340885,3.32617836,4.97840067,3.47259303,5.01108562,3.58295044,4.22549685,-4.22549685,0.75290382,0.6640954484730865,11.85730710554764,1.50580764,0.10890432,0.27493269,0.38383701,74.75,22.03,0.065,0.5090548317371103,0.2996893085217921,504.1895288049034,51.495576040572665,1,False,1,False,0.727890070928725,0.9142322097378279,0.8946486902448308,0.8455903236371279,0.3041361961568531,0.20203099946552647,0.7422297347305292,0.47213036709802786,0.2,AM15G,PCF_sigma_0.20
D07,D07_TPA_BTD_TT_CAA,TPA,BTD,TT,CAA,5.03634786,3.37466741,4.98133297,3.50388204,4.99894934,3.61549526,4.2426075050000005,-4.2426075050000005,0.7387254650000001,0.6768414298537819,12.182955166898386,1.4774509300000005,0.10810485,0.25150777,0.35961262,73.75,14.52,0.046,0.3952570232230634,0.3145524617123313,509.5458988180018,53.508200294380565,1,False,1,False,0.8170645721570938,0.7893882646691636,0.9749786892161829,0.86047717534748,0.28008702185655404,0.001336183858898956,0.49537157771453433,0.24835388078671664,0.2,AM15G,PCF_sigma_0.20
D08,D08_TPA_BTD_TT_RAA,TPA,BTD,TT,RAA,5.02517269,3.32108819,4.96767394,3.44502926,4.98621442,3.55758943,4.2063516,-4.2063516,0.76132234,0.656752040141105,11.620172463888656,1.52264468,0.11340182,0.23866535,0.35206717,74.758,21.66,0.05156,0.4121693902561036,0.3450432101948242,513.1703493332927,54.86306114820977,0,True,0,True,1.0,0.9152309612983767,1.0,0.9717436537661256,0.08476903870162333,0.19214323890967394,0.5320590659102234,0.36210115240994867,0.2,AM15G,PCF_sigma_0.20
D09,D09_PTZ_NONE_T_CAA,PTZ,NONE,T,CAA,5.06368877,3.13684561,4.86635098,3.28042295,4.89366849,3.40177703,4.073386965,-4.073386965,0.7929640149999999,0.6305456370551696,10.462316733648947,1.5859280299999998,0.35212813,0.28186044,0.63398857,70.744,36.98,0.2035,0.4188660044651044,0.1783682864688607,471.9367490528463,38.55787412486376,7,False,7,False,0.0,0.41410736579275864,0.06512627265321569,0.1597445461486581,1.4890463608973261,0.6015499732763228,0.5465858293291957,0.5740679013027592,0.2,AM15G,PCF_sigma_0.20
D10,D10_PTZ_NONE_T_RAA,PTZ,NONE,T,RAA,5.03526702,3.14132243,4.83802937,3.26284168,4.87483821,3.3668104,4.050435525,-4.050435525,0.787593845,0.6348449815526428,10.415284506306692,1.57518769,0.35003339,0.24278244,0.5928158299999999,70.257,50.84,0.19543,0.5379915504597523,0.2164593189397089,478.8174285877619,41.02991526044745,4,False,4,False,0.22853487266911915,0.3533083645443198,0.20165834474451516,0.2611671939859847,1.2848026745660448,0.9719401389631214,0.8050012867246953,0.8884707128439083,0.2,AM15G,PCF_sigma_0.20
D11,D11_PTZ_NONE_TT_CAA,PTZ,NONE,TT,CAA,5.04212021,3.19515852,4.84919883,3.33140512,4.83423882,3.45483923,4.090301975,-4.090301975,0.7588968549999999,0.6588510634953153,11.022953999914062,1.51779371,0.34786791,0.26582531,0.61369322,68.96,36.43,0.14881,0.3718822119043091,0.2057371009424947,473.25037895826654,39.66295826192725,7,False,7,False,0.16420475175157184,0.19138576779026076,0.1324272632921225,0.16267259427798506,1.4508939061852848,0.586851950828434,0.4446653038583727,0.5157586273434034,0.2,AM15G,PCF_sigma_0.20
