system,functional,state,reason,fragment_count,fragment_order,matrix_sum,diagonal_sum,off_diagonal_sum,diagonal_fraction,off_diagonal_fraction,pairwise_asymmetry_fraction,maximum_element,reported_including_H_sum,reported_including_H_maximum,absolute_sum_difference,status,raw_tmat,normalized_matrix_csv,long_csv,transcript
D01_TPA_NONE_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,163.055802,122.46939099999999,40.58641100000001,0.7510888266337189,0.24891117336628116,0.07509318190345658,115.754297,163.05580075,2.61515754,1.2499999968440534e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D01_TPA_NONE_T_CAA_S1/D01_TPA_NONE_T_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D01_TPA_NONE_T_CAA_S1/D01_TPA_NONE_T_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D01_TPA_NONE_T_CAA_S1/D01_TPA_NONE_T_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D01_TPA_NONE_T_CAA_S1/D01_TPA_NONE_T_CAA_S1_fragment_TDM_Multiwfn.out
D02_TPA_NONE_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,265.234184,193.762901,71.47128300000003,0.7305351749079221,0.269464825092078,0.08812004790453404,186.769092,265.23418331,2.47299289,6.900000357745739e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D02_TPA_NONE_T_RAA_S1/D02_TPA_NONE_T_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D02_TPA_NONE_T_RAA_S1/D02_TPA_NONE_T_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D02_TPA_NONE_T_RAA_S1/D02_TPA_NONE_T_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D02_TPA_NONE_T_RAA_S1/D02_TPA_NONE_T_RAA_S1_fragment_TDM_Multiwfn.out
D03_TPA_NONE_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,120.694582,90.266352,30.42823,0.747890671679032,0.25210932832096805,0.031923852223954836,83.006042,120.6945833,3.33200113,1.3000000080864993e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D03_TPA_NONE_TT_CAA_S1/D03_TPA_NONE_TT_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D03_TPA_NONE_TT_CAA_S1/D03_TPA_NONE_TT_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D03_TPA_NONE_TT_CAA_S1/D03_TPA_NONE_TT_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D03_TPA_NONE_TT_CAA_S1/D03_TPA_NONE_TT_CAA_S1_fragment_TDM_Multiwfn.out
D04_TPA_NONE_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,429.72863300000006,358.007631,71.72100200000006,0.8331016448699148,0.1668983551300852,0.04144657961388391,353.038114,429.72863319,9.24750258,1.8999992335011484e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D04_TPA_NONE_TT_RAA_S1/D04_TPA_NONE_TT_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D04_TPA_NONE_TT_RAA_S1/D04_TPA_NONE_TT_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D04_TPA_NONE_TT_RAA_S1/D04_TPA_NONE_TT_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D04_TPA_NONE_TT_RAA_S1/D04_TPA_NONE_TT_RAA_S1_fragment_TDM_Multiwfn.out
D05_TPA_BTD_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,204.424104,102.02551,102.398594,0.49908747551609667,0.5009125244839033,0.08698841111222384,84.932841,204.42410387,1.770555,1.2999998943996616e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S1/D05_TPA_BTD_T_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S1/D05_TPA_BTD_T_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S1/D05_TPA_BTD_T_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S1/D05_TPA_BTD_T_CAA_S1_fragment_TDM_Multiwfn.out
D05_TPA_BTD_T_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,245.854681,126.241683,119.612998,0.5134809005324572,0.4865190994675428,0.10596587339331562,108.734482,245.85468141,4.71449635,4.1000001260727004e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S2/D05_TPA_BTD_T_CAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S2/D05_TPA_BTD_T_CAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S2/D05_TPA_BTD_T_CAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D05_TPA_BTD_T_CAA_S2/D05_TPA_BTD_T_CAA_S2_fragment_TDM_Multiwfn.out
D06_TPA_BTD_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,167.026461,82.000834,85.02562700000001,0.49094516826288975,0.5090548317371103,0.08103471102102797,70.431977,167.02646183,1.33968997,8.299999763039523e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S1/D06_TPA_BTD_T_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S1/D06_TPA_BTD_T_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S1/D06_TPA_BTD_T_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S1/D06_TPA_BTD_T_RAA_S1_fragment_TDM_Multiwfn.out
D06_TPA_BTD_T_RAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,167.82407,80.583939,87.240131,0.4801691378358301,0.51983086216417,0.14038740092526655,66.139277,167.82406871,1.2521784,1.2900000001536682e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S2/D06_TPA_BTD_T_RAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S2/D06_TPA_BTD_T_RAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S2/D06_TPA_BTD_T_RAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D06_TPA_BTD_T_RAA_S2/D06_TPA_BTD_T_RAA_S2_fragment_TDM_Multiwfn.out
D07_TPA_BTD_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,117.579492,71.105372,46.47412,0.6047429767769366,0.3952570232230634,0.04585672134048681,64.298134,117.5794899,1.56617854,2.1000000032245225e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S1/D07_TPA_BTD_TT_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S1/D07_TPA_BTD_TT_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S1/D07_TPA_BTD_TT_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S1/D07_TPA_BTD_TT_CAA_S1_fragment_TDM_Multiwfn.out
D07_TPA_BTD_TT_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,163.591449,84.509636,79.08181300000001,0.5165895681992523,0.4834104318007478,0.09633169151769048,72.556675,163.59144867,2.7836842,3.3000000598804036e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S2/D07_TPA_BTD_TT_CAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S2/D07_TPA_BTD_TT_CAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S2/D07_TPA_BTD_TT_CAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D07_TPA_BTD_TT_CAA_S2/D07_TPA_BTD_TT_CAA_S2_fragment_TDM_Multiwfn.out
