ID,system,Donor,Aux,Bridge,Anchor,VIP_eV,VEA_eV,I_AIP_electronic_eV,A_AEA_electronic_eV,AIP_Gibbs_eV,AEA_Gibbs_eV,chi_eV,mu_eV,eta_eV,softness_eV_inv,omega_eV,I_minus_A_eV,lambda_h_eV,lambda_e_eV,lambda_total_eV
D01,D01_TPA_NONE_T_CAA,TPA,NONE,T,CAA,5.0901562,3.12777197,5.02117669,3.28423364,5.08148148,3.39244352,4.152705165,-4.152705165,0.8684715249999999,0.5757241148464828,9.928339439463882,1.7369430499999998,0.11174655,0.29789665,0.4096432
D02,D02_TPA_NONE_T_RAA,TPA,NONE,T,RAA,5.04126849,3.12996821,4.98357328,3.25670415,5.01696328,3.38204877,4.1201387149999995,-4.1201387149999995,0.8634345649999999,0.5790826777938871,9.830242915305256,1.7268691299999999,0.12017637,0.25915117,0.37932754
D03,D03_TPA_NONE_TT_CAA,TPA,NONE,TT,CAA,5.05277728,3.18736328,4.99420286,3.32592257,5.04874618,3.45263511,4.160062715,-4.160062715,0.8341401449999999,0.5994196574725462,10.373629597178285,1.6682802899999998,0.11402333,0.27610795,0.39013127999999997
D04,D04_TPA_NONE_TT_RAA,TPA,NONE,TT,RAA,5.01761962,3.18246577,4.94952476,3.30351943,5.02431036,3.37524593,4.126522095,-4.126522095,0.823002665,0.6075314470579509,10.345157631125772,1.64600533,0.13825833,0.24401539,0.38227372000000004
D05,D05_TPA_BTD_T_CAA,TPA,BTD,T,CAA,5.04680819,3.38230674,4.99307604,3.53598984,4.96349291,3.63821676,4.2645329400000005,-4.2645329400000005,0.7285431,0.686301194809202,12.48123906213994,1.4570862,0.1088118,0.28619385,0.39500565000000004
D06,D06_TPA_BTD_T_RAA,TPA,BTD,T,RAA,5.0340885,3.32617836,4.97840067,3.47259303,5.01108562,3.58295044,4.22549685,-4.22549685,0.75290382,0.6640954484730865,11.857307105547639,1.50580764,0.10890432,0.27493269,0.38383701
D07,D07_TPA_BTD_TT_CAA,TPA,BTD,TT,CAA,5.03634786,3.37466741,4.98133297,3.50388204,4.99894934,3.61549526,4.2426075050000005,-4.2426075050000005,0.7387254650000001,0.6768414298537819,12.182955166898386,1.4774509300000003,0.10810485,0.25150777,0.35961262000000005
D08,D08_TPA_BTD_TT_RAA,TPA,BTD,TT,RAA,5.02517269,3.32108819,4.96767394,3.44502926,4.98621442,3.55758943,4.2063516,-4.2063516,0.76132234,0.656752040141105,11.620172463888657,1.52264468,0.11340182,0.23866535,0.35206717
D09,D09_PTZ_NONE_T_CAA,PTZ,NONE,T,CAA,5.06368877,3.13684561,4.86635098,3.28042295,4.89366849,3.40177703,4.073386965,-4.073386965,0.7929640149999999,0.6305456370551696,10.462316733648949,1.5859280299999998,0.35212813,0.28186044,0.63398857
D10,D10_PTZ_NONE_T_RAA,PTZ,NONE,T,RAA,5.03526702,3.14132243,4.83802937,3.26284168,4.87483821,3.3668104,4.050435525,-4.050435525,0.787593845,0.6348449815526428,10.415284506306692,1.57518769,0.35003339,0.24278244,0.5928158299999999
D11,D11_PTZ_NONE_TT_CAA,PTZ,NONE,TT,CAA,5.04212021,3.19515852,4.84919883,3.33140512,4.83423882,3.45483923,4.090301975,-4.090301975,0.7588968549999999,0.6588510634953153,11.022953999914062,1.5177937099999999,0.34786791,0.26582531,0.61369322
D12,D12_PTZ_NONE_TT_RAA,PTZ,NONE,TT,RAA,5.00510783,3.18605768,4.8186799,3.30676303,4.81151732,3.43462117,4.062721465,-4.062721465,0.7559584350000002,0.661412025913832,10.917072247610903,1.5119168700000003,0.34261367,0.23805473,0.5806684
D13,D13_PTZ_BTD_T_CAA,PTZ,BTD,T,CAA,5.01843596,3.38197938,4.81683714,3.53898963,4.83217076,3.64099233,4.177913385,-4.177913385,0.6389237549999998,0.7825659886444513,13.659658226795909,1.2778475099999995,0.36423747,0.28939064,0.65362811
D14,D14_PTZ_BTD_T_RAA,PTZ,BTD,T,RAA,5.01143583,3.33864008,4.80743969,3.47363958,4.82555839,3.5926649,4.140539635,-4.140539635,0.6669000549999999,0.74973753001115,12.853551548294543,1.3338001099999999,0.36350004,0.25966248,0.6231625199999999
D15,D15_PTZ_BTD_TT_CAA,PTZ,BTD,TT,CAA,5.01602639,3.37544076,4.81053553,3.50912976,4.86109646,3.59944054,4.159832645,-4.159832645,0.6507028850000001,0.7683998511855376,13.296550571162516,1.3014057700000001,0.37032084,0.25269772,0.62301856
D16,D16_PTZ_BTD_TT_RAA,PTZ,BTD,TT,RAA,5.00446101,3.32119105,4.80024282,3.44621948,4.80610225,3.56191604,4.1232311500000005,-4.1232311500000005,0.6770116700000002,0.738539706413037,12.555939483532333,1.3540233400000004,0.37124875,0.24034103,0.6115897800000001
