system,functional,state,reason,fragment_count,fragment_order,ifct_output,Donor_hole_percent,Donor_electron_percent,Bridge_hole_percent,Bridge_electron_percent,Anchor_hole_percent,Anchor_electron_percent,Donor_population_change_e,Bridge_population_change_e,Anchor_population_change_e,Donor_intrafragment_redistribution_e,Bridge_intrafragment_redistribution_e,Anchor_intrafragment_redistribution_e,Donor_to_Bridge_forward_e,Bridge_to_Donor_reverse_e,Donor_to_Bridge_net_e,Donor_to_Anchor_forward_e,Anchor_to_Donor_reverse_e,Donor_to_Anchor_net_e,Bridge_to_Anchor_forward_e,Anchor_to_Bridge_reverse_e,Bridge_to_Anchor_net_e,CT_percent,LE_percent,status,Aux_hole_percent,Aux_electron_percent,Aux_population_change_e,Aux_intrafragment_redistribution_e,Donor_to_Aux_forward_e,Aux_to_Donor_reverse_e,Donor_to_Aux_net_e,Aux_to_Bridge_forward_e,Bridge_to_Aux_reverse_e,Aux_to_Bridge_net_e,Aux_to_Anchor_forward_e,Anchor_to_Aux_reverse_e,Aux_to_Anchor_net_e
D01_TPA_NONE_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D01_TPA_NONE_T_CAA_S1/D01_TPA_NONE_T_CAA_S1_IFCT.out,58.01,22.52,27.02,39.51,14.97,37.98,-0.35489,0.12485,0.23003,0.13063,0.10674,0.05686,0.22916,0.06085,0.16831,0.22029,0.03372,0.18657,0.10261,0.05915,0.04346,70.577,29.423,OK,,,,,,,,,,,,,
D02_TPA_NONE_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D02_TPA_NONE_T_RAA_S1/D02_TPA_NONE_T_RAA_S1_IFCT.out,44.53,15.88,29.7,32.23,25.78,51.89,-0.2865,0.02538,0.26113,0.0707,0.09572,0.13375,0.14353,0.04715,0.09638,0.23105,0.04093,0.19012,0.15409,0.08309,0.071,69.983,30.017,OK,,,,,,,,,,,,,
D03_TPA_NONE_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D03_TPA_NONE_TT_CAA_S1/D03_TPA_NONE_TT_CAA_S1_IFCT.out,44.52,16.04,40.28,47.88,15.21,36.08,-0.28476,0.07601,0.20875,0.07142,0.19282,0.05487,0.21314,0.06461,0.14853,0.16063,0.02439,0.13624,0.14532,0.0728,0.07252,68.089,31.911,OK,,,,,,,,,,,,,
D04_TPA_NONE_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D04_TPA_NONE_TT_RAA_S1/D04_TPA_NONE_TT_RAA_S1_IFCT.out,32.62,11.62,41.99,38.21,25.39,50.18,-0.21,-0.03788,0.24788,0.03789,0.16044,0.12741,0.12461,0.04878,0.07583,0.16366,0.02949,0.13417,0.21072,0.09701,0.11371,67.427,32.573,OK,,,,,,,,,,,,,
D05_TPA_BTD_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D05_TPA_BTD_T_CAA_S1/D05_TPA_BTD_T_CAA_S1_IFCT.out,44.76,9.69,16.79,19.67,7.88,15.55,-0.35074,0.0288,0.07666,0.04337,0.03301,0.01225,0.08803,0.01626,0.07177,0.0696,0.00764,0.06196,0.0261,0.0155,0.0106,74.294,25.706,OK,30.57,55.1,0.24528,0.16843,0.24663,0.02962,0.21702,0.06012,0.09249,-0.03237,0.04753,0.04343,0.0041
D05_TPA_BTD_T_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D05_TPA_BTD_T_CAA_S2/D05_TPA_BTD_T_CAA_S2_IFCT.out,38.95,5.97,28.1,24.87,16.35,29.57,-0.32981,-0.03229,0.13225,0.02326,0.06989,0.04834,0.09688,0.01678,0.0801,0.11519,0.00976,0.10543,0.0831,0.04066,0.04244,79.28,20.72,OK,16.6,39.59,0.22985,0.06571,0.15419,0.00991,0.14428,0.04129,0.11124,-0.06995,0.04909,0.06471,-0.01562
D06_TPA_BTD_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D06_TPA_BTD_T_RAA_S1/D06_TPA_BTD_T_RAA_S1_IFCT.out,34.88,8.21,20.62,18.74,14.42,22.03,-0.2667,-0.01882,0.07607,0.02863,0.03864,0.03177,0.06536,0.01693,0.04843,0.07684,0.01184,0.065,0.04543,0.02703,0.0184,74.75,25.25,OK,30.08,51.02,0.20945,0.15345,0.17796,0.02469,0.15327,0.05636,0.10521,-0.04885,0.06626,0.07359,-0.00733
D06_TPA_BTD_T_RAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D06_TPA_BTD_T_RAA_S2/D06_TPA_BTD_T_RAA_S2_IFCT.out,35.63,5.15,22.38,17.29,28.33,39.75,-0.30475,-0.05093,0.11416,0.01836,0.0387,0.11261,0.0616,0.01154,0.05007,0.14162,0.0146,0.12702,0.08897,0.04898,0.03998,77.869,22.131,OK,13.66,37.81,0.24152,0.05163,0.13471,0.00704,0.12767,0.02361,0.08463,-0.06101,0.05428,0.10712,-0.05283
D07_TPA_BTD_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D07_TPA_BTD_TT_CAA_S1/D07_TPA_BTD_TT_CAA_S1_IFCT.out,36.28,8.68,26.28,24.93,7.69,14.52,-0.27601,-0.01352,0.06831,0.03149,0.06551,0.01116,0.09044,0.02281,0.06763,0.05267,0.00667,0.046,0.03815,0.01916,0.01899,73.75,26.25,OK,29.75,51.87,0.22121,0.15434,0.1882,0.02583,0.16238,0.07417,0.13632,-0.06215,0.04319,0.03987,0.00332
D07_TPA_BTD_TT_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_ifct_batch24/D07_TPA_BTD_TT_CAA_S2/D07_TPA_BTD_TT_CAA_S2_IFCT.out,35.64,5.42,35.39,29.22,15.43,28.36,-0.30212,-0.06178,0.12929,0.01933,0.10341,0.04377,0.10412,0.0192,0.08492,0.10107,0.00837,0.0927,0.10039,0.04509,0.05529,78.341,21.659,OK,13.54,37.0,0.23461,0.05008,0.13184,0.00734,0.1245,0.03955,0.13095,-0.0914,0.03839,0.0571,-0.01871
