system,ID,Donor,Aux,Bridge,Anchor,functional,state,symmetry,energy_eV,wavelength_nm,oscillator_strength,normal_termination,log_file,checkpoint_file,formatted_checkpoint_file
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,1,Singlet-?Sym,2.7125,457.09,1.4245,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,2,Singlet-?Sym,3.8486,322.15,0.0345,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,3,Singlet-?Sym,4.1082,301.8,0.0362,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,4,Singlet-?Sym,4.3527,284.84,0.1312,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,5,Singlet-?Sym,4.3831,282.87,0.2431,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,6,Singlet-?Sym,4.4723,277.23,0.085,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,7,Singlet-?Sym,4.6836,264.72,0.0226,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,8,Singlet-?Sym,4.9061,252.72,0.0161,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,9,Singlet-?Sym,5.0178,247.09,0.0514,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,10,Singlet-?Sym,5.0247,246.75,0.0323,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
